"Notes","Residence State","Residence State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate
,"Arizona","04","85+ years","85+","2021","2021",200,133691,149.599
,"Arizona","04","85+ years","85+","2022","2022",221,149360,147.965
,"Arizona","04","85+ years","85+","2023","2023",204,149125,136.798
,"Arizona","04","85+ years","85+","2024 (provisional)","2024",210,149125,140.821
,"Arizona","04","85+ years","85+","2025 (provisional and partial)","2025",134,149125,89.858
,"Arizona","04","Not Stated","NS","2018","2018",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2019","2019",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2020","2020",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2021","2021",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2022","2022",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2023","2023",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2024 (provisional)","2024",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2025 (provisional and partial)","2025",0,Not Applicable,Not Applicable
,"Colorado","08","< 1 year","1","2018","2018",0,66125,Unreliable
,"Colorado","08","< 1 year","1","2019","2019",0,64561,Unreliable
,"Colorado","08","< 1 year","1","2020","2020",0,63076,Unreliable
,"Colorado","08","< 1 year","1","2021","2021",0,60341,Unreliable
,"Colorado","08","< 1 year","1","2022","2022",0,62867,Unreliable
,"Colorado","08","< 1 year","1","2023","2023",0,62168,Unreliable
,"Colorado","08","< 1 year","1","2024 (provisional)","2024",0,62168,Unreliable
,"Colorado","08","< 1 year","1","2025 (provisional and partial)","2025",0,62168,Unreliable
,"Colorado","08","1-4 years","1-4","2018","2018",0,270729,Unreliable
,"Colorado","08","1-4 years","1-4","2019","2019",0,267640,Unreliable
,"Colorado","08","1-4 years","1-4","2020","2020",0,261507,Unreliable
,"Colorado","08","1-4 years","1-4","2021","2021",0,252819,Unreliable
,"Colorado","08","1-4 years","1-4","2022","2022",0,246153,Unreliable
,"Colorado","08","1-4 years","1-4","2023","2023",0,246791,Unreliable
,"Colorado","08","1-4 years","1-4","2024 (provisional)","2024",0,246791,Unreliable
,"Colorado","08","1-4 years","1-4","2025 (provisional and partial)","2025",0,246791,Unreliable
,"Colorado","08","5-14 years","5-14","2018","2018",0,713331,Unreliable
,"Colorado","08","5-14 years","5-14","2019","2019",0,710322,Unreliable
,"Colorado","08","5-14 years","5-14","2020","2020",0,706276,Unreliable
,"Colorado","08","5-14 years","5-14","2021","2021",0,706487,Unreliable
,"Colorado","08","5-14 years","5-14","2022","2022",0,685113,Unreliable
,"Colorado","08","5-14 years","5-14","2023","2023",0,680999,Unreliable
,"Colorado","08","5-14 years","5-14","2024 (provisional)","2024",0,680999,Unreliable
,"Colorado","08","5-14 years","5-14","2025 (provisional and partial)","2025",0,680999,Unreliable
,"Colorado","08","15-24 years","15-24","2018","2018",Suppressed,741878,Suppressed
,"Colorado","08","15-24 years","15-24","2019","2019",Suppressed,743213,Suppressed
,"Colorado","08","15-24 years","15-24","2020","2020",Suppressed,746655,Suppressed
,"Colorado","08","15-24 years","15-24","2021","2021",0,751845,Unreliable
,"Colorado","08","15-24 years","15-24","2022","2022",Suppressed,775499,Suppressed
,"Colorado","08","15-24 years","15-24","2023","2023",Suppressed,765256,Suppressed
,"Colorado","08","15-24 years","15-24","2024 (provisional)","2024",0,765256,Unreliable
,"Colorado","08","15-24 years","15-24","2025 (provisional and partial)","2025",0,765256,Unreliable
,"Colorado","08","25-34 years","25-34","2018","2018",Suppressed,894422,Suppressed
,"Colorado","08","25-34 years","25-34","2019","2019",Suppressed,913354,Suppressed
,"Colorado","08","25-34 years","25-34","2020","2020",10,924010,Unreliable
,"Colorado","08","25-34 years","25-34","2021","2021",Suppressed,908724,Suppressed
,"Colorado","08","25-34 years","25-34","2022","2022",Suppressed,915481,Suppressed
,"Colorado","08","25-34 years","25-34","2023","2023",Suppressed,924103,Suppressed
,"Colorado","08","25-34 years","25-34","2024 (provisional)","2024",Suppressed,924103,Suppressed
,"Colorado","08","25-34 years","25-34","2025 (provisional and partial)","2025",Suppressed,924103,Suppressed
,"Colorado","08","35-44 years","35-44","2018","2018",17,780079,Unreliable
,"Colorado","08","35-44 years","35-44","2019","2019",23,798071,2.882
,"Colorado","08","35-44 years","35-44","2020","2020",21,816118,2.573
,"Colorado","08","35-44 years","35-44","2021","2021",32,839814,3.810
,"Colorado","08","35-44 years","35-44","2022","2022",24,847768,2.831
,"Colorado","08","35-44 years","35-44","2023","2023",25,864386,2.892
,"Colorado","08","35-44 years","35-44","2024 (provisional)","2024",25,864386,2.892
,"Colorado","08","35-44 years","35-44","2025 (provisional and partial)","2025",17,864386,Unreliable
,"Colorado","08","45-54 years","45-54","2018","2018",64,710171,9.012
,"Colorado","08","45-54 years","45-54","2019","2019",63,706150,8.922
,"Colorado","08","45-54 years","45-54","2020","2020",72,704945,10.214
,"Colorado","08","45-54 years","45-54","2021","2021",75,710167,10.561
,"Colorado","08","45-54 years","45-54","2022","2022",73,709151,10.294
,"Colorado","08","45-54 years","45-54","2023","2023",65,714267,9.100
