"Notes","Residence State","Residence State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate
,"Arizona","04","85+ years","85+","2021","2021",27,133691,20.196
,"Arizona","04","85+ years","85+","2022","2022",37,149360,24.772
,"Arizona","04","85+ years","85+","2023","2023",24,149125,16.094
,"Arizona","04","85+ years","85+","2024 (provisional)","2024",34,149125,22.800
,"Arizona","04","85+ years","85+","2025 (provisional and partial)","2025",17,149125,Unreliable
,"Arizona","04","Not Stated","NS","2018","2018",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2019","2019",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2020","2020",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2021","2021",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2022","2022",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2023","2023",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2024 (provisional)","2024",0,Not Applicable,Not Applicable
,"Arizona","04","Not Stated","NS","2025 (provisional and partial)","2025",0,Not Applicable,Not Applicable
,"Colorado","08","< 1 year","1","2018","2018",0,66125,Unreliable
,"Colorado","08","< 1 year","1","2019","2019",0,64561,Unreliable
,"Colorado","08","< 1 year","1","2020","2020",0,63076,Unreliable
,"Colorado","08","< 1 year","1","2021","2021",0,60341,Unreliable
,"Colorado","08","< 1 year","1","2022","2022",0,62867,Unreliable
,"Colorado","08","< 1 year","1","2023","2023",0,62168,Unreliable
,"Colorado","08","< 1 year","1","2024 (provisional)","2024",0,62168,Unreliable
,"Colorado","08","< 1 year","1","2025 (provisional and partial)","2025",0,62168,Unreliable
,"Colorado","08","1-4 years","1-4","2018","2018",0,270729,Unreliable
,"Colorado","08","1-4 years","1-4","2019","2019",0,267640,Unreliable
,"Colorado","08","1-4 years","1-4","2020","2020",0,261507,Unreliable
,"Colorado","08","1-4 years","1-4","2021","2021",0,252819,Unreliable
